_id,id,name,type,maintenance_responsibility,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1,2111959181,Able Long Park,Park,Parks - Southern,https://tools.wprdc.org/images/pittsburgh/parks/Able_Long_Park.jpg,Beechview,4,19,42003192000,5,19,6,4-28,40.4081182,-80.02819656
2,1109513049,Albert Turk Graham Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Albert_Turk_Graham_Park.jpg,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44050716,-79.98401757
3,1544096765,Alcoa Park,Park,Parks - Northern,,North Shore,1,22,42003563200,6,22,1,1-20,40.44748073,-80.00101726
4,1212681573,Allegheny Commons,Park,Parks - Northern,,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.4531264,-80.00915763
5,954863286,Allegheny Landing Park,Park,Parks - Northern,,North Shore,1,22,42003563200,6,22,1,1-20,40.44718412,-80.0029073
6,223959093,Allegheny Riverfront Park,Park,Parks - Northern,,Central Business District,6,2,42003020100,6,2,2,1-3,40.44459085,-80.00241592
7,1596467340,Alpine Gardens Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Alpine_Gardens_Park.jpg,Central Northside,6,25,42003250300,1,25,1,1-21,40.45767271,-80.01285151
8,1829922263,Alton Park,Park,Parks - Southern,,Beechview,4,19,42003191600,5,19,6,4-28,40.41458018,-80.02185513
9,2049886968,Amber Triangle,Traffic Island/Median,2nd Division,,East Liberty,7,8,42003111500,2,8,5,3-23,40.45909858,-79.93184578
10,1047118140,Ammon Park,Park,Parks - Schenley,,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.44952617,-79.97824652
11,1928748922,Arlington Park,Park,Parks - Southern,,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41828271,-79.97505009
12,1334547409,Arlington Gym,Building Grounds,Parks - Southern,,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41924143,-79.97507643
13,1848662473,Armstrong Park,Park,Parks - Southern,,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42805587,-79.98584204
14,485438954,Arsenal Park,Park,Parks - Northeast,,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46669649,-79.96122939
15,1366899437,August Wilson Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/August_Wilson_Park.jpg,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44677876,-79.98560194
